ptnum,Rout,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,2.0,0.6931471824645996,0.6931471824645996,0.0,0.0,1.0,0.0,0.0,1.0,3.825071814844705e-07,0.0,-8.815495675662532e-06
1,2.0,0.6931471824645996,0.6911451816558838,-0.002002021996304393,0.0,1.0020040273666382,0.0,0.0,1.0,-3.7957354379614117e-06,0.0,-0.0011548853944987059
2,2.0,0.6931471824645996,0.6891471147537231,-0.004000043962150812,0.0,1.0040080547332764,0.0,0.0,1.0,1.4460791817327845e-06,0.0,-0.0022964803501963615
3,2.0,0.6931471824645996,0.6871531009674072,-0.005994081497192383,0.0,1.0060120820999146,0.0,0.0,1.0,1.569994992678403e-06,0.0,13.272397994995117
4,2.0,0.6931471824645996,0.685163140296936,-0.007984032854437828,0.0,1.0080159902572632,0.0,0.0,1.0,1.949449824678595e-06,0.0,9.962400436401367
5,2.0,0.6931471824645996,0.6831770539283752,-0.009970149956643581,0.0,1.0100200176239014,0.0,0.0,1.0,-1.0915259736066218e-06,0.0,7.975793838500977
6,2.0,0.6931471824645996,0.6811948418617249,-0.011952330358326435,0.0,1.0120240449905396,0.0,0.0,1.0,-5.069281314717955e-07,0.0,6.650989532470703
7,2.0,0.6931471824645996,0.6792165637016296,-0.013930589891970158,0.0,1.0140280723571777,0.0,0.0,1.0,-9.545664170218515e-07,0.0,5.704371452331543
8,2.0,0.6931471824645996,0.6772422194480896,-0.015904942527413368,0.0,1.016032099723816,0.0,0.0,1.0,1.7253343287393363e-07,0.0,4.994143962860107
9,2.0,0.6931471824645996,0.67527174949646,-0.01787540502846241,0.0,1.018036127090454,0.0,0.0,1.0,-9.55752170739288e-07,0.0,4.441497325897217
10,2.0,0.6931471824645996,0.673305332660675,-0.01984187588095665,0.0,1.0200400352478027,0.0,0.0,1.0,2.988207938869891e-07,0.0,3.999206066131592
11,2.0,0.6931471824645996,0.6713425517082214,-0.021804604679346085,0.0,1.022044062614441,0.0,0.0,1.0,1.3541799717131653e-06,0.0,3.6370818614959717
12,2.0,0.6931471824645996,0.669383704662323,-0.023763488978147507,0.0,1.024048089981079,0.0,0.0,1.0,-1.837985053043667e-08,0.0,3.3351337909698486
13,2.0,0.6931471824645996,0.6674286127090454,-0.02571854181587696,0.0,1.0260521173477173,0.0,0.0,1.0,2.3715935526524845e-07,0.0,3.079484701156616
14,2.0,0.6931471824645996,0.6654773950576782,-0.02766978181898594,0.0,1.0280561447143555,0.0,0.0,1.0,-1.1419223255870747e-06,0.0,2.860203266143799
15,2.0,0.6931471824645996,0.6635299921035767,-0.029617220163345337,0.0,1.0300601720809937,0.0,0.0,1.0,-1.7306704194197664e-06,0.0,2.6700234413146973
16,2.0,0.6931471824645996,0.6615864038467407,-0.031560759991407394,0.0,1.0320640802383423,0.0,0.0,1.0,-1.9773160602198914e-06,0.0,2.503478527069092
17,2.0,0.6931471824645996,0.6596465110778809,-0.03350064158439636,0.0,1.0340681076049805,0.0,0.0,1.0,-8.300577114539465e-09,0.0,2.356412887573242
