ptnum,Rout,Cd_x,Cd_y,Cd_z,L,lnRa,lnRb,theta,P_x,P_y,P_z,Rin,analytic_vortex_core_vel_x,analytic_vortex_core_vel_y,analytic_vortex_core_vel_z
0,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.455287218093872,0.0,3.665191173553467,-0.6062178611755371,0.0,-0.3499998450279236,0.699999988079071,4.248879008628137e-07,0.0,1.177760509563086e-06
1,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4487242698669434,-0.006562948226928711,3.665191173553467,-0.6102095246315002,0.0,-0.35230445861816406,0.699999988079071,-0.0024687168188393116,0.0,0.004257947206497192
2,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4422041177749634,-0.013083189725875854,3.665191173553467,-0.6142012476921082,0.0,-0.35460907220840454,0.699999988079071,4.343067169189453,0.0,-7.5224199295043945
3,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4357260465621948,-0.01956126093864441,3.665191173553467,-0.6181929707527161,0.0,-0.356913685798645,0.699999988079071,2.9035463333129883,0.0,-5.029091835021973
4,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4292898178100586,-0.02599748969078064,3.665191173553467,-0.6221846342086792,0.0,-0.3592182695865631,0.699999988079071,2.183438539505005,0.0,-3.781825065612793
5,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4228947162628174,-0.03239262104034424,3.665191173553467,-0.6261763572692871,0.0,-0.3615228831768036,0.699999988079071,1.7510825395584106,0.0,-3.032961368560791
6,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.4165401458740234,-0.03874713182449341,3.665191173553467,-0.6301680207252502,0.0,-0.36382749676704407,0.699999988079071,1.4626142978668213,0.0,-2.5333194732666016
7,3.0,0.0,0.0,0.30399999022483826,1.455287218093872,1.410225749015808,-0.04506149888038635,3.665191173553467,-0.6341597437858582,0.0,-0.36613211035728455,0.699999988079071,1.2563610076904297,0.0,-2.1760857105255127
8,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.4039510488510132,-0.05133625864982605,3.665191173553467,-0.6381514668464661,0.0,-0.368436723947525,0.699999988079071,1.1015112400054932,0.0,-1.9078679084777832
9,3.0,0.0,0.0,0.30399999022483826,1.4552873373031616,1.3977153301239014,-0.057571977376937866,3.665191173553467,-0.642143189907074,0.0,-0.3707413375377655,0.699999988079071,0.9809302687644958,0.0,-1.6990156173706055
