ptnum,bary_x,bary_y,bary_z,Cd_x,Cd_y,Cd_z,Rout,faceid,theta,P_x,P_y,P_z,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,Rin,gamma
0,1.0,-0.0,0.0,1.0,0.0,0.0,3.0,610,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.699999988079071,1.0
1,0.9771094918251038,0.013452627696096897,0.009437874890863895,1.0,0.0,0.0,3.0,610,0.0,0.704609215259552,0.0,6.702721710993842e-12,-0.0015371196204796433,0.0,0.031723231077194214,0.699999988079071,1.0
2,0.9542189836502075,0.026905255392193794,0.01887574978172779,1.0,0.0,0.0,3.0,610,0.0,0.709218442440033,0.0,1.3405443421987684e-11,-0.0029509165324270725,0.0,0.06239689886569977,0.699999988079071,1.0
3,0.9313284754753113,0.040357884019613266,0.02831362374126911,1.0,0.0,0.0,3.0,610,0.0,0.7138276696205139,0.0,-1.233883967222127e-10,-0.004241389688104391,0.0,0.09202101081609726,0.699999988079071,1.0
4,0.9084382653236389,0.05381033569574356,0.03775137662887573,1.0,0.0,0.0,3.0,610,0.0,0.7184368371963501,0.0,1.7869095092493126e-11,-0.005408527795225382,0.0,0.12059519439935684,0.699999988079071,1.0
5,0.8855478167533875,0.06726296246051788,0.04718925058841705,1.0,0.0,0.0,3.0,610,0.0,0.723046064376831,0.0,-5.95967719618784e-13,-0.006452357862144709,0.0,0.1481201946735382,0.699999988079071,1.0
6,0.8626573085784912,0.0807155892252922,0.056627124547958374,1.0,0.0,0.0,3.0,610,0.0,0.727655291557312,0.0,-1.9061030531730694e-11,-0.007372865453362465,0.0,0.1745956391096115,0.699999988079071,1.0
7,0.8397667407989502,0.09416822344064713,0.0660649985074997,1.0,0.0,0.0,3.0,610,0.0,0.732264518737793,0.0,-5.108412026721965e-10,-0.008170046843588352,0.0,0.20002152025699615,0.699999988079071,1.0
8,0.8168762922286987,0.10762084275484085,0.07550287991762161,1.0,0.0,0.0,3.0,610,0.0,0.7368737459182739,0.0,6.186662293572454e-10,-0.008843916468322277,0.0,0.22439785301685333,0.699999988079071,1.0
9,0.7939857840538025,0.12107347697019577,0.08494074642658234,1.0,0.0,0.0,3.0,610,0.0,0.7414829730987549,0.0,-5.477713282964203e-10,-0.00939444825053215,0.0,0.24772460758686066,0.699999988079071,1.0
10,0.7710952162742615,0.1345261037349701,0.09437862783670425,1.0,0.0,0.0,3.0,610,0.0,0.7460922002792358,0.0,1.0842099440466768e-10,-0.009821668267250061,0.0,0.2700017988681793,0.699999988079071,1.0
11,0.7482050657272339,0.14797855913639069,0.10381637513637543,1.0,0.0,0.0,3.0,610,0.0,0.750701367855072,0.0,-4.929721075797033e-10,-0.010125556029379368,0.0,0.2912291884422302,0.699999988079071,1.0
12,0.7253145575523376,0.1614311784505844,0.11325424909591675,1.0,0.0,0.0,3.0,610,0.0,0.755310595035553,0.0,-3.812206106346139e-11,-0.010306131094694138,0.0,0.31140726804733276,0.699999988079071,1.0
13,0.7024240493774414,0.17488381266593933,0.12269213050603867,1.0,0.0,0.0,3.0,610,0.0,0.7599198222160339,0.0,1.4475515230927272e-10,-0.010363382287323475,0.0,0.33053579926490784,0.699999988079071,1.0
14,0.6795336008071899,0.18833644688129425,0.1321299970149994,1.0,0.0,0.0,3.0,610,0.0,0.7645290493965149,0.0,-1.021682405344393e-09,-0.010297304950654507,0.0,0.34861481189727783,0.699999988079071,1.0
15,0.6566430330276489,0.20178906619548798,0.1415678709745407,1.0,0.0,0.0,3.0,610,0.0,0.7691382765769958,0.0,-5.66832358828151e-10,-0.010107910260558128,0.0,0.3656441867351532,0.699999988079071,1.0
16,0.6337525844573975,0.2152416855096817,0.15100575983524323,1.0,0.0,0.0,3.0,610,0.0,0.7737475037574768,0.0,1.2373324587144907e-09,-0.009795201942324638,0.0,0.3816240727901459,0.699999988079071,1.0
17,0.6108623743057251,0.2286941409111023,0.160443514585495,1.0,0.0,0.0,3.0,610,0.0,0.778356671333313,0.0,1.3105967422433196e-09,-0.009359167888760567,0.0,0.396554172039032,0.699999988079071,1.0
18,0.5879718065261841,0.24214677512645721,0.16988137364387512,1.0,0.0,0.0,3.0,610,0.0,0.782965898513794,0.0,-5.304982009235459e-10,-0.008799795992672443,0.0,0.41043487191200256,0.699999988079071,1.0
19,0.5650813579559326,0.25559937953948975,0.17931924760341644,1.0,0.0,0.0,3.0,610,0.0,0.7875751256942749,0.0,8.709820642494037e-10,-0.00811711885035038,0.0,0.42326608300209045,0.699999988079071,1.0
20,0.5421908497810364,0.26905202865600586,0.18875713646411896,1.0,0.0,0.0,3.0,610,0.0,0.7921843528747559,0.0,7.8188644447863e-10,-0.007311110384762287,0.0,0.4350477457046509,0.699999988079071,1.0
21,0.5193003416061401,0.282504677772522,0.19819501042366028,1.0,0.0,0.0,3.0,610,0.0,0.7967935800552368,0.0,-6.565239463185435e-10,-0.006381773855537176,0.0,0.44577983021736145,0.699999988079071,1.0
22,0.4964098334312439,0.2959572672843933,0.2076328843832016,1.0,0.0,0.0,3.0,610,0.0,0.8014028072357178,0.0,1.6915865375111139e-09,-0.005329130217432976,0.0,0.4554622769355774,0.699999988079071,1.0
23,0.47351932525634766,0.3094099164009094,0.21707074344158173,1.0,0.0,0.0,3.0,610,0.0,0.8060120344161987,0.0,-1.0961386243124593e-09,-0.004153144080191851,0.0,0.46409523487091064,0.699999988079071,1.0
24,0.4506288766860962,0.32286253571510315,0.22650863230228424,1.0,0.0,0.0,3.0,610,0.0,0.8106212615966797,0.0,7.080261932301823e-10,-0.0028538540937006474,0.0,0.47167864441871643,0.699999988079071,1.0
25,0.42773857712745667,0.33631500601768494,0.235946387052536,1.0,0.0,0.0,3.0,610,0.0,0.8152304291725159,0.0,-1.653397418976965e-10,-0.0014312450075522065,0.0,0.4782123565673828,0.699999988079071,1.0
26,0.4048480987548828,0.34976762533187866,0.24538426101207733,1.0,0.0,0.0,3.0,610,0.0,0.8198396563529968,0.0,2.8951030461854543e-10,0.00011469460878288373,0.0,0.4836966395378113,0.699999988079071,1.0
27,0.38195765018463135,0.3632202446460724,0.25482213497161865,1.0,0.0,0.0,3.0,610,0.0,0.8244488835334778,0.0,7.443603511347874e-10,0.0017839557258412242,0.0,0.48813140392303467,0.699999988079071,1.0
28,0.3590671420097351,0.3766728937625885,0.2642599940299988,1.0,0.0,0.0,3.0,610,0.0,0.8290581107139587,0.0,-2.043364810688786e-09,0.0035765517968684435,0.0,0.4915165603160858,0.699999988079071,1.0
29,0.3361766040325165,0.39012548327445984,0.2736978828907013,1.0,0.0,0.0,3.0,610,0.0,0.8336673378944397,0.0,1.6540604441672713e-09,0.005492452532052994,0.0,0.49385207891464233,0.699999988079071,1.0
30,0.3132864534854889,0.4035779535770416,0.28313562273979187,1.0,0.0,0.0,3.0,610,0.0,0.8382765054702759,0.0,-5.686202619870073e-10,0.007531662005931139,0.0,0.49513816833496094,0.699999988079071,1.0
31,0.29039591550827026,0.41703060269355774,0.2925735116004944,1.0,0.0,0.0,3.0,610,0.0,0.8428857326507568,0.0,-6.577158817577811e-10,0.009694219566881657,0.0,0.4953746795654297,0.699999988079071,1.0
