ptnum,bary_x,bary_y,bary_z,Rout,faceid,theta,P_x,P_y,P_z,Rin,vortex_core_vel_x,vortex_core_vel_y,vortex_core_vel_z,gamma
0,0.0,1.0,-0.0,2.0,1324,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.008434772491455078,0.014524731785058975,0.9770404696464539,2.0,1692,0.0,1.0020040273666382,0.0,5.0639865634138914e-09,1.0,-0.0030063556041568518,0.0,0.06336592137813568,1.0
2,0.016869723796844482,0.029049411416053772,0.9540808796882629,2.0,1692,0.0,1.0040080547332764,0.0,8.889285418867132e-10,1.0,-0.005911624524742365,0.0,0.12459714710712433,1.0
3,0.02530461549758911,0.04357414320111275,0.9311212301254272,2.0,1692,0.0,1.0060120820999146,0.0,-1.8007760838045783e-09,1.0,-0.008716157637536526,0.0,0.18369334936141968,1.0
4,0.03373897075653076,0.05809799209237099,0.9081630110740662,2.0,1692,0.0,1.0080159902572632,0.0,-2.2205515204376525e-09,1.0,-0.011419709771871567,0.0,0.24065108597278595,1.0
5,0.042173802852630615,0.07262272387742996,0.88520348072052,2.0,1692,0.0,1.0100200176239014,0.0,2.843434820931634e-09,1.0,-0.01402262132614851,0.0,0.2954772710800171,1.0
6,0.05060863494873047,0.08714740723371506,0.8622439503669739,2.0,1692,0.0,1.0120240449905396,0.0,2.9282367641769724e-09,1.0,-0.016524646431207657,0.0,0.34816834330558777,1.0
7,0.0590435266494751,0.10167213529348373,0.839284360408783,2.0,1692,0.0,1.0140280723571777,0.0,3.732363307307196e-09,1.0,-0.018925802782177925,0.0,0.39872464537620544,1.0
8,0.06747841835021973,0.11619687080383301,0.8163247108459473,2.0,1692,0.0,1.016032099723816,0.0,1.4256729130579515e-09,1.0,-0.021226119250059128,0.0,0.447145938873291,1.0
9,0.07591331005096436,0.1307215690612793,0.7933651208877563,2.0,1692,0.0,1.018036127090454,0.0,-8.343139512589914e-10,1.0,-0.023425566032528877,0.0,0.4934321641921997,1.0
10,0.08434760570526123,0.14524541795253754,0.77040696144104,2.0,1692,0.0,1.0200400352478027,0.0,2.6227562344161015e-09,1.0,-0.025524139404296875,0.0,0.537580668926239,1.0
11,0.09278249740600586,0.1597701609134674,0.7474473714828491,2.0,1692,0.0,1.022044062614441,0.0,4.958939481269908e-09,1.0,-0.027521932497620583,0.0,0.5795971155166626,1.0
12,0.10121732950210571,0.1742948591709137,0.724487841129303,2.0,1692,0.0,1.024048089981079,0.0,6.57579812823883e-09,1.0,-0.029418902471661568,0.0,0.6194783449172974,1.0
13,0.10965222120285034,0.18881957232952118,0.7015281915664673,2.0,1692,0.0,1.0260521173477173,0.0,1.9710226784042106e-09,1.0,-0.031214982271194458,0.0,0.6572246551513672,1.0
14,0.11808711290359497,0.20334430038928986,0.6785686016082764,2.0,1692,0.0,1.0280561447143555,0.0,2.7751492215344342e-09,1.0,-0.03291023150086403,0.0,0.6928360462188721,1.0
15,0.12652194499969482,0.21786899864673615,0.6556090712547302,2.0,1692,0.0,1.0300601720809937,0.0,4.392008090547961e-09,1.0,-0.034504663199186325,0.0,0.7263122797012329,1.0
16,0.13495630025863647,0.23239286243915558,0.6326508522033691,2.0,1692,0.0,1.0320640802383423,0.0,5.504289468660772e-09,1.0,-0.035998158156871796,0.0,0.7576518058776855,1.0
17,0.1433911919593811,0.24691759049892426,0.6096912026405334,2.0,1692,0.0,1.0340681076049805,0.0,2.4315705005051313e-09,1.0,-0.037390876561403275,0.0,0.7868582606315613,1.0
18,0.15182608366012573,0.26144230365753174,0.5867316126823425,2.0,1692,0.0,1.0360721349716187,0.0,1.7036403399117717e-09,1.0,-0.038682740181684494,0.0,0.8139296770095825,1.0
