radius_index,radius,interior,theta_count,analytical_dr_theta_mean,analytical_dr_theta_std,analytical_dr_theta_min,analytical_dr_theta_max,analytical_dr_theta_range,analytical_dtheta_theta_mean,analytical_dtheta_theta_std,analytical_dtheta_theta_min,analytical_dtheta_theta_max,analytical_dtheta_theta_range,analytical_speed_theta_mean,analytical_speed_theta_std,analytical_speed_theta_min,analytical_speed_theta_max,analytical_speed_theta_range,discrete_dr_theta_mean,discrete_dr_theta_std,discrete_dr_theta_min,discrete_dr_theta_max,discrete_dr_theta_range,discrete_dtheta_theta_mean,discrete_dtheta_theta_std,discrete_dtheta_theta_min,discrete_dtheta_theta_max,discrete_dtheta_theta_range,discrete_speed_theta_mean,discrete_speed_theta_std,discrete_speed_theta_min,discrete_speed_theta_max,discrete_speed_theta_range
0,0.6999999939518511,0,55,-9.099300190863974e-07,1.6751565100463254e-07,-9.568438795969572e-07,-3.1177936388496273e-07,6.450645157119944e-07,-1.2910593013946886e-06,1.7265564733256203e-06,-7.456099115288762e-06,-8.075266909217943e-07,6.648572424366968e-06,1.7037349614107423e-06,1.612808943902891e-06,1.2520580283442666e-06,7.462614856055323e-06,6.210556827711057e-06,-8.140981918708417e-05,0.0039499281011657296,-0.00849282798995419,0.007787812833625376,0.016280640823579565,0.017031608585399628,0.00936066825379134,0.0,0.036280040125402986,0.036280040125402986,0.01744325229208538,0.009436064338562571,0.0,0.03682133542050926,0.03682133542050926
1,0.7046092121611968,0,55,6.377386610175332e-06,8.657555277846322e-07,6.0277447976536e-06,8.999283880040943e-06,2.9715390823873426e-06,-0.004586139504916212,0.00010616828197883236,-0.004921849101561576,-0.004548559764221148,0.0003732893373404279,0.004586143993493335,0.00010616945977571519,0.00454856499776938,0.004921857327805101,0.00037329233003572087,-0.00021747241878183464,0.012471872754467182,-0.023354519667046426,0.025568561682736236,0.04892308134978266,0.053468846163003146,0.015366760316623328,0.030242639514646473,0.08884623627889686,0.058603596764250386,0.054970644578799695,0.015128713477334325,0.03175998163110374,0.09028841813012589,0.05852843649902215
2,0.7092184456831631,0,55,7.84614229802739e-07,1.0314474606644541e-06,-8.231861468864372e-07,2.421376346915646e-06,3.2445624938020835e-06,8.686090576440638,5.3325750345236074e-05,8.68602176534683,8.686140341480437,0.00011857613360710673,8.686090576440735,5.332575025984292e-05,8.686021765347014,8.68614034148057,0.00011857613355559238,-0.0007182030305449114,0.02056189301306492,-0.04086057841608077,0.04369830207586437,0.08455888049194514,0.08816554100224289,0.022682063129802137,0.05424984386585876,0.14028155903731415,0.08603171517145539,0.09063312395516568,0.022284135837942826,0.057988164036522113,0.14033490823900757,0.08234674420248546
3,0.7138276732972023,0,55,-8.41715499110663e-08,1.8476586440690715e-07,-5.495014738221824e-07,3.5000121103177447e-07,8.995026848539568e-07,5.807094591607516,1.381175828577707e-07,5.8070943206908225,5.8070948520409145,5.313500919257308e-07,5.80709459160752,1.381175836524511e-07,5.8070943206908225,5.807094852040919,5.313500963666229e-07,-0.0011732018886734437,0.028713154231498023,-0.05798560257115163,0.06152402108711946,0.11950962365827109,0.12105515418635195,0.029948352011438226,0.07737632166379838,0.19922749032809428,0.1218511686642959,0.124585864668359,0.029247873370779855,0.08292728641737551,0.19929633196832075,0.11636904555094524
4,0.7184368416053086,0,55,-1.4319978858767704e-06,1.039389737460781e-06,-3.008789661750797e-06,8.385894785984193e-07,3.847379140349216e-06,4.366883717988706,1.173114694954915e-05,4.3668753825285656,4.366907745372127,3.2362843561450916e-05,4.366883717989065,1.1731146931690827e-05,4.3668753825287325,4.366907745372208,3.236284347529761e-05,-0.0016996987907576945,0.035709043656592776,-0.0651682605918441,0.06648664806875225,0.13165490866059634,0.15236241372034506,0.036737524882736114,0.09496443464737096,0.25536313394989113,0.16039869930252015,0.15672057786716842,0.03578597626204726,0.10706680431032271,0.255442541467032,0.14837573715670926
5,0.7230460630334277,0,55,-2.396576297983056e-06,8.597298314880083e-07,-4.252479382052518e-06,-1.691401839695948e-06,2.5610775423565704e-06,3.502160315394766,4.618813483811367e-06,3.502148363217416,3.5021632107716134,1.4847554197228163e-05,3.5021603153956917,4.618813282599464e-06,3.502148363217929,3.502163210772028,1.4847554099084448e-05,-0.0019695329653037935,0.04217764738593303,-0.07533582836583141,0.08223076363024866,0.15756659199608009,0.18204837749916747,0.04300672052988949,0.1082906303748676,0.3086905283223379,0.20039989794747032,0.18715505168367047,0.041797241406719525,0.12837984395108815,0.30877593982196005,0.1803960958708719
6,0.7276552892625726,0,55,-1.92695438021228e-06,1.3525416312595286e-07,-2.1560403606460067e-06,-1.4545168248992056e-06,7.015235357468011e-07,2.925226296440547,2.2977342941069443e-07,2.9252260101004395,2.9252270144951544,1.00439471495406e-06,2.925226296441184,2.297733757305556e-07,2.925226010101041,2.9252270144956416,1.0043946003790438e-06,-0.002192588745035377,0.047629752510149774,-0.0880291755173382,0.0900308656828215,0.1780600412001597,0.21011654010872927,0.048560179676021366,0.12485012561938685,0.35920767806134174,0.23435755244195489,0.21575954470499747,0.04720456668274658,0.1470996309821276,0.359294930656051,0.2121952996739234
7,0.7322645152317898,0,55,1.0678493353013331e-06,8.041459688794403e-07,-6.221823351409241e-07,1.8458693399867553e-06,2.4680516751276795e-06,2.512723021845391,6.626042265082504e-06,2.5127112302488133,2.5127296244589004,1.8394210087091523e-05,2.5127230218457477,6.626042388119569e-06,2.5127112302488706,2.5127296244589776,1.8394210107075537e-05,-0.0025628911903954814,0.05230155267759838,-0.10042670490343007,0.09171081406184516,0.19213751896527523,0.23659317276686967,0.05342723229726913,0.143458552999564,0.40691567270904816,0.26345711970948416,0.24261860167306037,0.05204837650484849,0.16376320189359497,0.40700104273194176,0.2432378408383468
8,0.7368737521589512,0,55,-3.156082087159477e-06,2.186319879245268e-07,-3.465686955352664e-06,-2.466220105080776e-06,9.994668502718884e-07,2.203017922292509,6.556121733203163e-07,2.2030175645855095,2.2030200887454274,2.5241599179715024e-06,2.20301792229478,6.556119075784955e-07,2.203017564587922,2.2030200887468685,2.5241589463043113e-06,-0.0028542243708411137,0.057054324651429116,-0.11252843827080614,0.10294650465824255,0.21547494292904867,0.2614185486601257,0.05777980349774849,0.15580532442085007,0.45181371807794896,0.29600839365709886,0.26790448894911145,0.05629112394427876,0.18040393964300105,0.4518939672351822,0.27149002759218116
9,0.7414829740774077,0,55,-2.405289201739824e-06,4.0997554119375846e-07,-3.2957936737087426e-06,-2.0020983736400983e-06,1.2936953000686443e-06,1.9618551926851469,2.7703570183487962e-06,1.9618537533334337,1.9618629431162102,9.18978277653082e-06,1.961855192686664,2.7703572972297015e-06,1.9618537533346474,1.9618629431182741,9.189783626739612e-06,-0.0031519428206305236,0.06115506746565792,-0.11779295905497596,0.11399312822609846,0.23178608728107442,0.2848006866737135,0.0613676377732127,0.17454873722523398,0.49390287715609016,0.31935413993085615,0.2916029330501864,0.0599585236016128,0.19592228666133116,0.49397530334633977,0.2980530166850086
