sidelen,component,theta_file,theta,Rin,Rout,r_min_plot,r_max_plot,in_plot_window,ptnum,r,P_x,P_y,P_z,u_exact,u_numerical,u_error,exact_vx,exact_vy,exact_vz,numerical_vx,numerical_vy,numerical_vz,position_delta
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,0,1.0,1.0,0.0,0.0,3.825071814844705e-07,0.0,-3.825071814844705e-07,3.825071814844705e-07,0.0,-8.815495675662532e-06,0.0,0.0,0.0,0.0
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,1,1.0020040273666382,1.0020040273666382,0.0,2.5319932817069457e-09,-3.795738356275091e-06,-0.0030063554440356516,-0.0030025597056793766,-3.7957354379614117e-06,0.0,-0.0011548853944987059,-0.0030063556041568518,0.0,0.06336592137813568,5.0639865634138914e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,2,1.0040080547332764,1.0040080547332764,0.0,4.444642709433566e-10,1.4460781651040236e-06,-0.005911624469584461,-0.005913070547749565,1.4460791817327845e-06,0.0,-0.0022964803501963615,-0.005911624524742365,0.0,0.12459714710712433,8.889285418867132e-10
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,3,1.0060120820999146,1.0060120820999146,0.0,-9.003880419022892e-10,1.5581161011077204e-06,-0.008716157801943394,-0.008717715918044502,1.569994992678403e-06,0.0,13.272397994995117,-0.008716157637536526,0.0,0.18369334936141968,1.8007760838045783e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,4,1.0080159902572632,1.0080159902572632,0.0,-1.1102757602188262e-09,1.938476772837119e-06,-0.011419710036935881,-0.011421648513708717,1.949449824678595e-06,0.0,9.962400436401367,-0.011419709771871567,0.0,0.24065108597278595,2.2205515204376525e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,5,1.0100200176239014,1.0100200176239014,0.0,1.421717410465817e-09,-1.0802991416977267e-06,-0.014022620910230831,-0.014021540611089133,-1.0915259736066218e-06,0.0,7.975793838500977,-0.01402262132614851,0.0,0.2954772710800171,2.843434820931634e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,6,1.0120240449905396,1.0120240449905396,0.0,1.4641183820884862e-09,-4.97305992470484e-07,-0.016524645927504536,-0.016524148621512066,-5.069281314717955e-07,0.0,6.650989532470703,-0.016524646431207657,0.0,0.34816834330558777,2.9282367641769724e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,7,1.0140280723571777,1.0140280723571777,0.0,1.866181653653598e-09,-9.440682921275175e-07,-0.01892580204837909,-0.018924857980086963,-9.545664170218515e-07,0.0,5.704371452331543,-0.018925802782177925,0.0,0.39872464537620544,3.732363307307196e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,8,1.016032099723816,1.016032099723816,0.0,7.128364565289758e-10,1.760372669426097e-07,-0.02122611893634667,-0.021226294973613613,1.7253343287393363e-07,0.0,4.994143962860107,-0.021226119250059128,0.0,0.447145938873291,1.4256729130579515e-09
0.1,r,0.0,0.0,1.0,2.0,1.1,1.9,0,9,1.018036127090454,1.018036127090454,0.0,-4.171569756294957e-10,-9.575721470077461e-07,-0.023425566234720786,-0.02342460866257378,-9.55752170739288e-07,0.0,4.441497325897217,-0.023425566032528877,0.0,0.4934321641921997,8.343139512589914e-10
