ptnum,id,harmonic_vel_x,harmonic_vel_y,harmonic_vel_z,harmonic_coeff,P_x,P_y,P_z,coexact_vel_x,coexact_vel_y,coexact_vel_z,velocity_x,velocity_y,velocity_z,gamma
0,0,-0.01754775457084179,-0.0,-0.012806426733732224,-0.12016172707080841,1.083829641342163,0.0,-1.4863770008087158,-0.3247544765472412,0.0,-0.2825782895088196,-0.34230223298072815,0.0,-0.2953847050666809,1.0
1,0,-0.017567461356520653,-0.0,-0.012881000526249409,-0.12044784426689148,1.087263822555542,0.0,-1.4834598302841187,-0.32717165350914,0.0,-0.27522164583206177,-0.3447391092777252,0.0,-0.2881026566028595,1.0
2,0,-0.01757778227329254,-0.0,-0.012948684394359589,-0.12067482620477676,1.0907282829284668,0.0,-1.4806137084960938,-0.3307580053806305,0.0,-0.2682265639305115,-0.34833580255508423,0.0,-0.28117525577545166,1.0
3,0,-0.017578205093741417,-0.0,-0.013009163551032543,-0.12083965539932251,1.0942343473434448,0.0,-1.4778350591659546,-0.3354890048503876,0.0,-0.2616014778614044,-0.35306718945503235,0.0,-0.27461063861846924,1.0
4,0,-0.017568252980709076,-0.0,-0.01306213904172182,-0.12093954533338547,1.0977933406829834,0.0,-1.475120186805725,-0.341348797082901,0.0,-0.25536084175109863,-0.3589170575141907,0.0,-0.2684229612350464,1.0
5,0,-0.01754748262465,-0.0,-0.013107335194945335,-0.12097183614969254,1.1014163494110107,0.0,-1.4724652767181396,-0.3483310639858246,0.0,-0.2495247721672058,-0.36587855219841003,0.0,-0.2626321017742157,1.0
6,0,-0.017507588490843773,-0.0,-0.013141217641532421,-0.12090250104665756,1.1051132678985596,0.0,-1.4698647260665894,-0.35565632581710815,0.0,-0.2449810802936554,-0.37316393852233887,0.0,-0.2581222951412201,1.0
7,0,-0.01744033209979534,-0.0,-0.013161394745111465,-0.12070591002702713,1.1088730096817017,0.0,-1.4672907590866089,-0.36129438877105713,0.0,-0.24377846717834473,-0.3787347376346588,0.0,-0.2569398581981659,1.0
8,0,-0.017368564382195473,-0.0,-0.013178522698581219,-0.12048164010047913,1.112687110900879,0.0,-1.4647202491760254,-0.3666605055332184,0.0,-0.24425792694091797,-0.3840290904045105,0.0,-0.25743645429611206,1.0
9,0,-0.01729407347738743,-0.0,-0.01319405622780323,-0.12024141848087311,1.1165525913238525,0.0,-1.4621362686157227,-0.3717305660247803,0.0,-0.24645981192588806,-0.38902464509010315,0.0,-0.25965386629104614,1.0
10,0,-0.017218688502907753,-0.0,-0.013209502212703228,-0.11999734491109848,1.1204664707183838,0.0,-1.4595212936401367,-0.37646883726119995,0.0,-0.2504217326641083,-0.39368754625320435,0.0,-0.2636312246322632,1.0
11,0,-0.01714429073035717,-0.0,-0.013226442039012909,-0.11976196616888046,1.1244250535964966,0.0,-1.456857681274414,-0.38082778453826904,0.0,-0.2561778724193573,-0.39797207713127136,0.0,-0.2694043219089508,1.0
12,0,-0.01707281544804573,-0.0,-0.01324651949107647,-0.1195482537150383,1.1284244060516357,0.0,-1.4541271924972534,-0.384746789932251,0.0,-0.2637575566768646,-0.4018196165561676,0.0,-0.27700409293174744,1.0
13,0,-0.017006251960992813,-0.0,-0.013271450996398926,-0.11936965584754944,1.1324597597122192,0.0,-1.451311469078064,-0.38815194368362427,0.0,-0.27318400144577026,-0.4051581919193268,0.0,-0.2864554524421692,1.0
14,0,-0.016946660354733467,-0.0,-0.013303037732839584,-0.1192401722073555,1.1365256309509277,0.0,-1.4483919143676758,-0.3909550607204437,0.0,-0.2844717800617218,-0.40790170431137085,0.0,-0.2977747917175293,1.0
15,0,-0.01689615659415722,-0.0,-0.01334315538406372,-0.1191742867231369,1.140615463256836,0.0,-1.4453498125076294,-0.39305418729782104,0.0,-0.2976258099079132,-0.4099503457546234,0.0,-0.31096896529197693,1.0
16,0,-0.016856908798217773,-0.0,-0.013393751345574856,-0.1191869005560875,1.1447218656539917,0.0,-1.4421663284301758,-0.39433377981185913,0.0,-0.31263816356658936,-0.4111906886100769,0.0,-0.3260319232940674,1.0
17,0,-0.016831163316965103,-0.0,-0.013456863351166248,-0.11929348856210709,1.1488361358642578,0.0,-1.4388229846954346,-0.3946646451950073,0.0,-0.32948505878448486,-0.41149580478668213,0.0,-0.34294191002845764,1.0
18,0,-0.01682121865451336,-0.0,-0.013534601777791977,-0.11950995028018951,1.152948260307312,0.0,-1.435301423072815,-0.39390572905540466,0.0,-0.34812313318252563,-0.41072696447372437,0.0,-0.3616577386856079,1.0
19,0,-0.016802670434117317,-0.0,-0.013598958030343056,-0.11964523792266846,1.1570243835449219,0.0,-1.431713342666626,-0.38781166076660156,0.0,-0.34155672788619995,-0.40461432933807373,0.0,-0.35515567660331726,1.0
20,0,-0.01678125560283661,-0.0,-0.013659466989338398,-0.11975649744272232,1.1610463857650757,0.0,-1.428196668624878,-0.3833075165748596,0.0,-0.3347371220588684,-0.40008875727653503,0.0,-0.3483965992927551,1.0
21,0,-0.016757367178797722,-0.0,-0.0137171046808362,-0.11984866857528687,1.1650322675704956,0.0,-1.4247413873672485,-0.38063448667526245,0.0,-0.3291425108909607,-0.3973918557167053,0.0,-0.3428595960140228,1.0
22,0,-0.01673060469329357,-0.0,-0.013771812431514263,-0.11991998553276062,1.1690000295639038,0.0,-1.4213355779647827,-0.3797311782836914,0.0,-0.3247218132019043,-0.3964617848396301,0.0,-0.33849361538887024,1.0
23,0,-0.016700558364391327,-0.0,-0.013823515735566616,-0.11996860057115555,1.1729671955108643,0.0,-1.417967677116394,-0.380563884973526,0.0,-0.3214430809020996,-0.3972644507884979,0.0,-0.3352665901184082,1.0
